id;code;description
148;1-275.x;Transarterielle Linksherz-Katheteruntersuchung: Sonstige
149;1-275.y;Transarterielle Linksherz-Katheteruntersuchung: N.n.bez.
150;1-276;Angiokardiographie als selbständige Maßnahme
151;1-276.0;Angiokardiographie als selbständige Maßnahme: Pulmonalisangiographie
152;1-276.1;Angiokardiographie als selbständige Maßnahme: Aortographie
153;1-276.2;Angiokardiographie als selbständige Maßnahme: Ventrikulographie
154;1-276.20;Angiokardiographie als selbständige Maßnahme: Ventrikulographie: Rechter Ventrikel
155;1-276.21;Angiokardiographie als selbständige Maßnahme: Ventrikulographie: Linker Ventrikel
156;1-276.22;Angiokardiographie als selbständige Maßnahme: Ventrikulographie: Rechter und linker Ventrikel
157;1-276.x;Angiokardiographie als selbständige Maßnahme: Sonstige
158;1-276.y;Angiokardiographie als selbständige Maßnahme: N.n.bez.
159;1-277;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen
160;1-277.0;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen: Ohne Duktusabhängigkeit
161;1-277.1;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen: Mit duktusabhängigem Blutfluss im Lungenkreislauf
162;1-277.2;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen: Mit duktusabhängigem Blutfluss im Körperkreislauf
163;1-277.x;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen: Sonstige
164;1-277.y;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen: N.n.bez.
165;1-279;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen
166;1-279.0;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Bestimmung des Herzvolumens und der Austreibungsfraktion
167;1-279.1;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Quantitative regionale Funktionsanalyse
168;1-279.2;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Densitometrie des Ventrikels
169;1-279.3;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Densitometrie des Myokardes
170;1-279.4;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Densitometrie der großen Gefäße
171;1-279.5;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Intrakardiale Kontraktionsanalyse
172;1-279.50;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Intrakardiale Kontraktionsanalyse: Im dreidimensionalen System
173;1-279.51;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Intrakardiale Kontraktionsanalyse: Mit einem Druck und Kontraktilität messenden Dopplerdraht (DPDT)
174;1-279.5x;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Intrakardiale Kontraktionsanalyse: Sonstige
175;1-279.6;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Sondierung des Ductus arteriosus Botalli
176;1-279.7;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Sondierung eines operativ angelegten Shuntes
177;1-279.8;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Sondierung von Kollateralgefäßen
178;1-279.9;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Angioskopie
179;1-279.a;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Koronarangiographie mit Bestimmung der intrakoronaren Druckverhältnisse durch Druckdrahtmessung
180;1-279.b;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Bestimmung des portovenösen Druckgradienten
181;1-279.b0;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Bestimmung des portovenösen Druckgradienten: Durch indirekte Messung des Pfortaderdruckes
182;1-279.b1;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Bestimmung des portovenösen Druckgradienten: Durch direkte Messung des Pfortaderdruckes
183;1-279.x;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Sonstige
184;1-279.y;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: N.n.bez.
185;1-313;Ösophagusmanometrie
186;1-313.0;Ösophagusmanometrie: Durchzugsmanometrie
187;1-313.1;Ösophagusmanometrie: Hochauflösende Manometrie
188;1-313.10;Ösophagusmanometrie: Hochauflösende Manometrie: Einfach
189;1-313.11;Ösophagusmanometrie: Hochauflösende Manometrie: Langzeit-Manometrie
190;1-313.2;Ösophagusmanometrie: Impedanz-Planimetrie
191;1-313.x;Ösophagusmanometrie: Sonstige
192;1-314;Manometrie der Gallen- und Pankreasgänge
193;1-315;Anorektale Manometrie
194;1-316;pH-Metrie des Ösophagus
195;1-316.0;pH-Metrie des Ösophagus: Einfach
196;1-316.1;pH-Metrie des Ösophagus: Langzeit-pH-Metrie
197;1-316.10;pH-Metrie des Ösophagus: Langzeit-pH-Metrie: Ohne Langzeit-Impedanzmessung
198;1-316.11;pH-Metrie des Ösophagus: Langzeit-pH-Metrie: Mit Langzeit-Impedanzmessung
199;1-316.x;pH-Metrie des Ösophagus: Sonstige
200;1-316.y;pH-Metrie des Ösophagus: N.n.bez.
201;1-317;pH-Metrie des Magens
202;1-317.0;pH-Metrie des Magens: Einfach
203;1-317.1;pH-Metrie des Magens: Langzeit-pH-Metrie
204;1-317.x;pH-Metrie des Magens: Sonstige
205;1-317.y;pH-Metrie des Magens: N.n.bez.
206;1-318;Dünndarmmanometrie
207;1-319;Dickdarmmanometrie
208;1-334;Urodynamische Untersuchung
209;1-334.0;Urodynamische Untersuchung: Urodynamische Untersuchung mit gleichzeitiger Anwendung elektrophysiologischer Methoden
210;1-334.1;Urodynamische Untersuchung: Blasendruckmessung
211;1-334.2;Urodynamische Untersuchung: Video-Urodynamik
212;1-334.x;Urodynamische Untersuchung: Sonstige
213;1-334.y;Urodynamische Untersuchung: N.n.bez.
214;1-335;Messung des Urethradruckprofils
215;1-336;Harnröhrenkalibrierung
216;1-401;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren
217;1-401.0;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Großhirn
218;1-401.1;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Stammganglien
219;1-401.2;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Hirnstamm
220;1-401.3;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Kleinhirn
221;1-401.4;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Hirnnerven und Ganglien
222;1-401.5;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Hirnhäute
223;1-401.x;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: Sonstige
224;1-401.y;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren: N.n.bez.
225;1-404;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe
226;1-404.0;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: Rückenmark
227;1-404.1;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: Rückenmarknerven und Spinalganglien
228;1-404.2;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: Rückenmarkhäute
229;1-404.x;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: Sonstige
230;1-404.y;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: N.n.bez.
231;1-405;Perkutane (Nadel-)Biopsie an peripheren Nerven
232;1-405.0;Perkutane (Nadel-)Biopsie an peripheren Nerven: Hirnnerven
233;1-405.1;Perkutane (Nadel-)Biopsie an peripheren Nerven: Plexus brachialis
234;1-405.2;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Schulter
235;1-405.3;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Arm
236;1-405.4;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Hand
237;1-405.5;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Rumpf
238;1-405.6;Perkutane (Nadel-)Biopsie an peripheren Nerven: Plexus lumbosacralis
239;1-405.7;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Leiste und Beckenboden
240;1-405.8;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Bein
241;1-405.9;Perkutane (Nadel-)Biopsie an peripheren Nerven: Nerven Fuß
242;1-405.x;Perkutane (Nadel-)Biopsie an peripheren Nerven: Sonstige
243;1-405.y;Perkutane (Nadel-)Biopsie an peripheren Nerven: N.n.bez.
244;1-406;Perkutane (Nadel-)Biopsie an endokrinen Organen
245;1-406.0;Perkutane (Nadel-)Biopsie an endokrinen Organen: Hypophyse
246;1-406.1;Perkutane (Nadel-)Biopsie an endokrinen Organen: Corpus pineale
247;1-406.2;Perkutane (Nadel-)Biopsie an endokrinen Organen: Schilddrüse
248;1-406.3;Perkutane (Nadel-)Biopsie an endokrinen Organen: Nebenschilddrüsen
249;1-406.5;Perkutane (Nadel-)Biopsie an endokrinen Organen: Nebenniere
250;1-406.x;Perkutane (Nadel-)Biopsie an endokrinen Organen: Sonstige
251;1-406.y;Perkutane (Nadel-)Biopsie an endokrinen Organen: N.n.bez.
252;1-407;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren
253;1-407.0;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Hypophyse
254;1-407.1;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Corpus pineale
255;1-407.2;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Schilddrüse
256;1-407.3;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Nebenschilddrüsen
257;1-407.5;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Nebenniere
258;1-407.x;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: Sonstige
259;1-407.y;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren: N.n.bez.
260;1-408;Endosonographische Biopsie an endokrinen Organen
261;1-408.0;Endosonographische Biopsie an endokrinen Organen: Nebenniere
262;1-408.x;Endosonographische Biopsie an endokrinen Organen: Sonstige
263;1-408.y;Endosonographische Biopsie an endokrinen Organen: N.n.bez.
264;1-410;Biopsie ohne Inzision an der Ohrmuschel
265;1-411;Biopsie ohne Inzision am äußeren Gehörgang durch Otoskopie
266;1-412;Biopsie ohne Inzision an Augenlid und Augenbraue
267;1-412.0;Biopsie ohne Inzision an Augenlid und Augenbraue: Augenlid
268;1-412.1;Biopsie ohne Inzision an Augenlid und Augenbraue: Augenbraue
269;1-413;Biopsie ohne Inzision an Konjunktiva und Kornea
270;1-413.0;Biopsie ohne Inzision an Konjunktiva und Kornea: Konjunktiva
271;1-413.1;Biopsie ohne Inzision an Konjunktiva und Kornea: Kornea
272;1-414;Biopsie ohne Inzision an der Nase
273;1-414.0;Biopsie ohne Inzision an der Nase: Naseninnenraum
274;1-414.1;Biopsie ohne Inzision an der Nase: Nasennebenhöhlen
275;1-414.x;Biopsie ohne Inzision an der Nase: Sonstige
276;1-414.y;Biopsie ohne Inzision an der Nase: N.n.bez.
277;1-415;Biopsie ohne Inzision an der Gesichtshaut
278;1-420;Biopsie ohne Inzision an Mund und Mundhöhle
279;1-420.0;Biopsie ohne Inzision an Mund und Mundhöhle: Lippe
280;1-420.1;Biopsie ohne Inzision an Mund und Mundhöhle: Zunge
281;1-420.2;Biopsie ohne Inzision an Mund und Mundhöhle: Gaumen
282;1-420.3;Biopsie ohne Inzision an Mund und Mundhöhle: Gingiva
283;1-420.4;Biopsie ohne Inzision an Mund und Mundhöhle: Alveolarkamm
284;1-420.5;Biopsie ohne Inzision an Mund und Mundhöhle: Wangenschleimhaut
285;1-420.6;Biopsie ohne Inzision an Mund und Mundhöhle: Mundboden
286;1-420.7;Biopsie ohne Inzision an Mund und Mundhöhle: Speicheldrüse und Speicheldrüsenausführungsgang
287;1-420.x;Biopsie ohne Inzision an Mund und Mundhöhle: Sonstige
288;1-420.y;Biopsie ohne Inzision an Mund und Mundhöhle: N.n.bez.
289;1-421;Biopsie ohne Inzision am Larynx
290;1-421.0;Biopsie ohne Inzision am Larynx: Supraglottis
291;1-421.1;Biopsie ohne Inzision am Larynx: Glottis
292;1-421.2;Biopsie ohne Inzision am Larynx: Subglottis
293;1-421.x;Biopsie ohne Inzision am Larynx: Sonstige
294;1-421.y;Biopsie ohne Inzision am Larynx: N.n.bez.
295;1-422;Biopsie ohne Inzision am Pharynx
296;1-422.0;Biopsie ohne Inzision am Pharynx: Oropharynx
297;1-422.00;Biopsie ohne Inzision am Pharynx: Oropharynx: Uvula
298;1-422.01;Biopsie ohne Inzision am Pharynx: Oropharynx: Tonsillen
299;1-422.0x;Biopsie ohne Inzision am Pharynx: Oropharynx: Sonstige
300;1-422.1;Biopsie ohne Inzision am Pharynx: Hypopharynx
301;1-422.2;Biopsie ohne Inzision am Pharynx: Nasopharynx
302;1-422.x;Biopsie ohne Inzision am Pharynx: Sonstige
303;1-422.y;Biopsie ohne Inzision am Pharynx: N.n.bez.
304;1-424;Biopsie ohne Inzision am Knochenmark
305;1-425;(Perkutane) (Nadel-)Biopsie an Lymphknoten
306;1-425.0;(Perkutane) (Nadel-)Biopsie an Lymphknoten
307;1-425.1;(Perkutane) (Nadel-)Biopsie an Lymphknoten
308;1-425.2;(Perkutane) (Nadel-)Biopsie an Lymphknoten
309;1-425.3;(Perkutane) (Nadel-)Biopsie an Lymphknoten
310;1-425.4;(Perkutane) (Nadel-)Biopsie an Lymphknoten
311;1-425.5;(Perkutane) (Nadel-)Biopsie an Lymphknoten
312;1-425.6;(Perkutane) (Nadel-)Biopsie an Lymphknoten
313;1-425.7;(Perkutane) (Nadel-)Biopsie an Lymphknoten
314;1-425.8;(Perkutane) (Nadel-)Biopsie an Lymphknoten
315;1-425.9;(Perkutane) (Nadel-)Biopsie an Lymphknoten
316;1-425.x;(Perkutane) (Nadel-)Biopsie an Lymphknoten
317;1-425.y;(Perkutane) (Nadel-)Biopsie an Lymphknoten
318;1-426;(Perkutane) Biopsie an Lymphknoten
319;1-426.0;(Perkutane) Biopsie an Lymphknoten
320;1-426.1;(Perkutane) Biopsie an Lymphknoten
321;1-426.2;(Perkutane) Biopsie an Lymphknoten
322;1-426.3;(Perkutane) Biopsie an Lymphknoten
323;1-426.4;(Perkutane) Biopsie an Lymphknoten
324;1-426.5;(Perkutane) Biopsie an Lymphknoten
325;1-426.6;(Perkutane) Biopsie an Lymphknoten
326;1-426.7;(Perkutane) Biopsie an Lymphknoten
327;1-426.8;(Perkutane) Biopsie an Lymphknoten
328;1-426.9;(Perkutane) Biopsie an Lymphknoten
329;1-426.a;(Perkutane) Biopsie an Lymphknoten
330;1-426.x;(Perkutane) Biopsie an Lymphknoten
331;1-426.y;(Perkutane) Biopsie an Lymphknoten
332;1-430;Endoskopische Biopsie an respiratorischen Organen
333;1-430.0;Endoskopische Biopsie an respiratorischen Organen: Trachea
334;1-430.00;Endoskopische Biopsie an respiratorischen Organen: Trachea: Zangenbiopsie
335;1-430.01;Endoskopische Biopsie an respiratorischen Organen: Trachea: Kryobiopsie
336;1-430.0x;Endoskopische Biopsie an respiratorischen Organen: Trachea: Sonstige
337;1-430.1;Endoskopische Biopsie an respiratorischen Organen: Bronchus
338;1-430.10;Endoskopische Biopsie an respiratorischen Organen: Bronchus: Zangenbiopsie
339;1-430.11;Endoskopische Biopsie an respiratorischen Organen: Bronchus: Kryobiopsie
340;1-430.12;Endoskopische Biopsie an respiratorischen Organen: Bronchus: Biopsie durch Schlingenabtragung
341;1-430.1x;Endoskopische Biopsie an respiratorischen Organen: Bronchus: Sonstige
342;1-430.2;Endoskopische Biopsie an respiratorischen Organen: Lunge
343;1-430.20;Endoskopische Biopsie an respiratorischen Organen: Lunge: Zangenbiopsie
344;1-430.21;Endoskopische Biopsie an respiratorischen Organen: Lunge: Kryobiopsie
345;1-430.2x;Endoskopische Biopsie an respiratorischen Organen: Lunge: Sonstige
346;1-430.3;Endoskopische Biopsie an respiratorischen Organen: Stufenbiopsie
347;1-430.30;Endoskopische Biopsie an respiratorischen Organen: Stufenbiopsie: Zangenbiospie
348;1-430.31;Endoskopische Biopsie an respiratorischen Organen: Stufenbiopsie: Kryobiopsie
349;1-430.3x;Endoskopische Biopsie an respiratorischen Organen: Stufenbiopsie: Sonstige
350;1-430.x;Endoskopische Biopsie an respiratorischen Organen: Sonstige
